IMAGE   JD              AIRMASS  M_inst  M_cal   ERR
n1.097  2454673.847217  1.371    13.499  13.976  0.015
n1.098  2454673.847739  1.367    13.508  13.976  0.012
n1.099  2454673.848267  1.364    13.506  13.985  0.014
n1.100  2454673.848800  1.361    13.498  13.979  0.012
n1.101  2454673.849326  1.357    13.508  13.985  0.012
n1.102  2454673.849848  1.354    13.509  13.983  0.014
n1.103  2454673.850371  1.351    13.507  13.982  0.014
n1.104  2454673.850893  1.348    13.508  13.983  0.013
n1.105  2454673.851419  1.345    13.507  13.988  0.013
n1.106  2454673.851947  1.342    13.505  13.987  0.013
n1.107  2454673.852468  1.339    13.506  13.987  0.013
n1.108  2454673.852990  1.336    13.511  13.985  0.013
n1.109  2454673.853515  1.333    13.511  13.989  0.012
n1.110  2454673.854501  1.327    13.510  13.990  0.016
n1.111  2454673.855023  1.324    13.510  13.984  0.013
n1.112  2454673.855544  1.321    13.511  13.989  0.013
n1.113  2454673.856067  1.319    13.514  13.986  0.014
n1.114  2454673.856589  1.316    13.513  13.988  0.013
n1.115  2454673.857111  1.313    13.514  13.994  0.014
n1.116  2454673.857634  1.310    13.510  13.989  0.014
n1.117  2454673.858156  1.307    13.512  13.995  0.013
n1.118  2454673.858679  1.305    13.519  13.995  0.012
n1.119  2454673.859201  1.302    13.509  13.984  0.014
n1.136  2454673.875869  1.229    13.528  14.004  0.013
n1.137  2454673.876392  1.227    13.527  14.008  0.014
n1.140  2454673.877959  1.221    13.530  14.006  0.014
n1.141  2454673.878482  1.220    13.532  14.006  0.014
n1.142  2454673.879005  1.218    13.531  14.010  0.013
n1.143  2454673.879527  1.216    13.530  14.008  0.014
n1.144  2454673.880050  1.214    13.533  14.009  0.013
n1.145  2454673.880576  1.212    13.539  14.014  0.014
n1.146  2454673.881098  1.211    13.551  14.014  0.014
n1.147  2454673.881621  1.209    13.531  14.005  0.013
n1.148  2454673.882143  1.207    13.532  14.005  0.013
n1.149  2454673.882668  1.205    13.535  14.011  0.013
n1.150  2454673.883190  1.204    13.534  14.012  0.014
n1.151  2454673.883712  1.202    13.533  14.011  0.013
n1.152  2454673.884234  1.200    13.533  14.007  0.015
n1.153  2454673.884761  1.199    13.534  14.006  0.013
n1.154  2454673.885285  1.197    13.540  14.006  0.014
n1.155  2454673.885807  1.195    13.552  14.007  0.015
n1.156  2454673.886418  1.194    13.545  14.005  0.015
n1.157  2454673.886940  1.192    13.534  14.005  0.013
n1.182  2454673.902223  1.154    13.529  14.001  0.015
n1.183  2454673.902746  1.153    13.522  13.998  0.012
n1.184  2454673.903269  1.152    13.514  13.993  0.014
n1.185  2454673.903791  1.151    13.519  13.995  0.014
n1.186  2454673.904313  1.150    13.519  14.000  0.013
n1.187  2454673.904835  1.148    13.521  14.001  0.014
n1.188  2454673.905357  1.148    13.521  13.998  0.015
n1.189  2454673.905880  1.147    13.539  14.000  0.012
n1.190  2454673.906403  1.146    13.522  14.002  0.012
n1.191  2454673.906924  1.145    13.516  13.992  0.012
n1.192  2454673.907446  1.144    13.523  13.999  0.013
n1.193  2454673.907968  1.143    13.512  13.986  0.012
n1.194  2454673.908491  1.142    13.521  13.993  0.012
n1.195  2454673.909013  1.141    13.512  13.989  0.012
n1.196  2454673.909536  1.140    13.516  13.991  0.012
n1.197  2454673.910058  1.139    13.515  13.987  0.013
n1.198  2454673.910609  1.138    13.513  13.989  0.014
n1.199  2454673.911134  1.137    13.510  13.987  0.012
n1.200  2454673.911657  1.137    13.510  13.985  0.013
n1.201  2454673.912179  1.136    13.511  13.987  0.014
n1.271  2454673.962989  1.119    13.905  13.824  0.018
n1.272  2454673.963511  1.120    13.354  13.823  0.011
n1.273  2454673.964033  1.120    13.357  13.827  0.011
n1.274  2454673.964556  1.121    13.347  13.819  0.012
n1.275  2454673.965078  1.121    13.339  13.820  0.011
n1.276  2454673.965601  1.122    13.340  13.822  0.011
n1.277  2454673.966122  1.122    13.341  13.821  0.011
n1.278  2454673.966645  1.123    13.345  13.816  0.011
n1.279  2454673.967167  1.123    13.339  13.813  0.012
n1.280  2454673.967689  1.124    13.332  13.809  0.011
n1.281  2454673.968212  1.124    13.333  13.814  0.012
n1.282  2454673.968735  1.125    13.330  13.812  0.014
n1.283  2454673.969257  1.125    13.322  13.808  0.011
n1.284  2454673.969779  1.126    13.315  13.803  0.012
n1.285  2454673.970302  1.127    13.318  13.800  0.011
n1.286  2454673.970823  1.127    13.313  13.798  0.012
n1.287  2454673.971345  1.128    13.315  13.802  0.013
n1.288  2454673.971867  1.129    13.314  13.798  0.011
n1.289  2454673.972389  1.129    13.319  13.799  0.011
n1.290  2454673.972911  1.130    13.319  13.798  0.012
n1.291  2454673.973434  1.131    13.314  13.795  0.012
n1.292  2454673.973956  1.131    13.314  13.800  0.012
n1.293  2454673.974478  1.132    13.314  13.798  0.011
n1.294  2454673.975000  1.133    13.308  13.789  0.015
n1.295  2454673.975522  1.134    13.304  13.785  0.014
n1.296  2454673.976044  1.134    13.297  13.780  0.013
n1.297  2454673.976566  1.135    13.304  13.787  0.011
n1.298  2454673.977088  1.136    13.299  13.780  0.011
n1.299  2454673.977610  1.137    13.299  13.782  0.012
n1.300  2454673.978132  1.138    13.291  13.774  0.011
n1.301  2454673.978654  1.138    13.298  13.777  0.012
n1.302  2454673.979180  1.139    13.293  13.778  0.013
n1.303  2454673.979702  1.140    13.294  13.777  0.011
n1.304  2454673.980224  1.141    13.283  13.771  0.012
n1.305  2454673.980747  1.142    13.284  13.767  0.011
n1.306  2454673.981272  1.143    13.279  13.765  0.011
n1.307  2454673.981795  1.144    13.276  13.749  0.019
n1.308  2454673.982316  1.145    13.277  13.758  0.013
n1.309  2454673.982839  1.146    13.286  13.768  0.013
n1.360  2454674.024980  1.278    13.197  13.677  0.017
n1.361  2454674.025502  1.280    13.187  13.675  0.013
n1.362  2454674.026024  1.283    13.185  13.671  0.016
n1.363  2454674.026546  1.285    13.185  13.675  0.016
n1.364  2454674.027068  1.288    13.191  13.680  0.018
n1.365  2454674.027590  1.290    13.189  13.686  0.017
n1.366  2454674.028112  1.293    13.184  13.674  0.018
n1.367  2454674.028634  1.295    13.184  13.659  0.029
n1.368  2454674.029157  1.298    13.184  13.663  0.020
n1.369  2454674.029678  1.301    13.200  13.676  0.018
n1.370  2454674.030200  1.303    13.183  13.671  0.017
n1.371  2454674.030722  1.306    13.185  13.675  0.019
n1.372  2454674.031244  1.309    13.186  13.673  0.016
n1.373  2454674.031766  1.311    13.191  13.662  0.027
n1.374  2454674.032289  1.314    13.188  13.674  0.016
n1.375  2454674.032811  1.317    13.187  13.674  0.017
n1.376  2454674.033332  1.320    13.190  13.676  0.016
n1.377  2454674.033854  1.323    13.185  13.673  0.016
n1.378  2454674.034376  1.325    13.187  13.674  0.016
n1.379  2454674.034897  1.328    13.183  13.671  0.015
n2.136  2454675.870187  1.228    13.502  13.926  0.066
n2.137  2454675.870999  1.225    13.513  13.927  0.066
n2.138  2454675.872654  1.219    13.715  13.938  0.066
n2.139  2454675.873465  1.216    13.807  13.938  0.066
n2.140  2454675.874424  1.213    13.791  13.942  0.066
n2.141  2454675.875234  1.210    13.733  13.940  0.066
n2.142  2454675.876045  1.207    13.819  13.942  0.066
n2.143  2454675.876857  1.205    13.714  13.941  0.066
n2.144  2454675.877668  1.202    13.643  13.946  0.066
n2.145  2454675.878481  1.200    13.607  13.947  0.066
n2.146  2454675.879292  1.197    13.777  13.949  0.066
n2.147  2454675.880103  1.195    13.907  13.953  0.066
n2.148  2454675.880914  1.192    14.013  13.956  0.066
n2.149  2454675.881725  1.190    14.317  13.954  0.066
n2.150  2454675.882537  1.187    14.113  13.959  0.066
n2.151  2454675.883349  1.185    14.069  13.959  0.066
n2.152  2454675.884161  1.183    13.917  13.953  0.066
n2.153  2454675.884971  1.181    13.652  13.965  0.066
n2.154  2454675.885782  1.179    13.548  13.965  0.066
n2.155  2454675.886593  1.176    13.713  13.967  0.066
n2.176  2454675.905127  1.138    13.605  14.000  0.066
n2.177  2454675.905938  1.137    13.542  13.998  0.066
n2.178  2454675.906749  1.136    13.871  13.998  0.066
n2.179  2454675.907560  1.134    13.931  13.999  0.066
n2.180  2454675.908373  1.133    13.603  14.000  0.066
n2.181  2454675.909184  1.132    13.580  14.000  0.066
