full_name,pdes,name,H,diameter,extent,rot_per,H_sigma,diameter_sigma,moid
   433 Eros (1898 DQ),433,Eros,11.16,16.84,34.4x11.2x11.2,5.27,,0.06,0.148916
   719 Albert (1911 MT),719,Albert,15.4,,,5.801,,,0.18566
   887 Alinda (1918 DB),887,Alinda,13.4,4.2,,73.97,,,0.0905863
  1036 Ganymed (1924 TD),1036,Ganymed,9.45,31.66,,10.297,,2.8,0.340214
  1221 Amor (1932 EA1),1221,Amor,17.7,1,,,,,0.107432
  1566 Icarus (1949 MA),1566,Icarus,16.9,1,,2.273,,,0.0344466
  1580 Betulia (1950 KA),1580,Betulia,14.5,5.8,,6.1324,,,0.135873
  1620 Geographos (1951 RA),1620,Geographos,15.6,2.56,5.0x2.0x2.1,5.22204,,0.15,0.0298212
  1627 Ivar (1929 SH),1627,Ivar,13.2,9.12,,4.795,,,0.111133
  1685 Toro (1948 OA),1685,Toro,14.23,3.4,,10.1995,,,0.0507024
  1862 Apollo (1932 HA),1862,Apollo,16.25,1.5,,3.065,,,0.0256623
  1863 Antinous (1948 EA),1863,Antinous,15.54,2.1,,7.4568,,,0.182189
  1864 Daedalus (1971 FA),1864,Daedalus,14.85,3.7,,8.572,,,0.268613
  1865 Cerberus (1971 UA),1865,Cerberus,16.84,1.2,,6.8039,,,0.156184
  1866 Sisyphus (1972 XA),1866,Sisyphus,12.4,8.48,,2.4,,,0.103525
  1915 Quetzalcoatl (1953 EA),1915,Quetzalcoatl,18.97,0.5,,4.9,,,0.109026
  1916 Boreas (1953 RA),1916,Boreas,14.93,3.5,,3.49,,,0.249881
  1917 Cuyo (1968 AA),1917,Cuyo,13.9,5.7,,2.689,,,0.075141
  1943 Anteros (1973 EC),1943,Anteros,15.75,2.3,,2.8695,,,0.0625092
  1980 Tezcatlipoca (1950 LA),1980,Tezcatlipoca,13.92,4.3,,7.24612,,,0.244592
  1981 Midas (1973 EA),1981,Midas,15.2,3.4,,5.22,,,0.00340556
  2059 Baboquivari (1963 UA),2059,Baboquivari,15.8,,,,,,0.25185
  2061 Anza (1960 UA),2061,Anza,16.56,2.6,,11.5,,,0.0523727
  2062 Aten (1976 AA),2062,Aten,16.8,1.1,,40.77,,,0.113008
  2063 Bacchus (1977 HB),2063,Bacchus,17.2,,1.1x1.1x2.6,14.904,,,0.0673551
  2100 Ra-Shalom (1978 RA),2100,Ra-Shalom,16.05,2.3,,19.797,,0.2,0.149552
  2101 Adonis (1936 CA),2101,Adonis,18.8,0.6,,,,,0.0118255
  2102 Tantalus (1975 YA),2102,Tantalus,15.9,,,2.391,,,0.0429336
  2135 Aristaeus (1977 HA),2135,Aristaeus,17.94,,,,,,0.010238
  2201 Oljato (1947 XC),2201,Oljato,15.25,1.8,,26,,0.1,0.00313596
  2202 Pele (1972 RA),2202,Pele,17.1,,,,,,0.145998
  2212 Hephaistos (1978 SB),2212,Hephaistos,13.87,5.7,,20,,,0.116219
  2329 Orthos (1976 WA),2329,Orthos,14.5,,,,,,0.101771
  2340 Hathor (1976 UA),2340,Hathor,20,0.3,,,,,0.00673284
  2368 Beltrovata (1977 RA),2368,Beltrovata,15.21,2.3,,5.9,,,0.231023
  2608 Seneca (1978 DA),2608,Seneca,17.52,0.9,,8,,,0.132856
  3102 Krok (1981 QA),3102,Krok,16.1,1.6,,149.4,,,0.186515
  3103 Eger (1982 BB),3103,Eger,15.38,1.5,,5.7059,,,0.0787427
  3122 Florence (1981 ET3),3122,Florence,14.1,4.9,,2.3581,,,0.0435913
  3199 Nefertiti (1982 RA),3199,Nefertiti,14.84,2.2,,3.021,,,0.21525
  3200 Phaethon (1983 TB),3200,Phaethon,14.6,5.1,,3.604,,0.2,0.0198898
  3271 Ul (1982 RB),3271,Ul,16.5,,,,,,0.277384
  3288 Seleucus (1982 DV),3288,Seleucus,15.2,2.8,,75,,,0.102852
