full_name,pdes,name,H,diameter,extent,rot_per,H_sigma,diameter_sigma,moid,moid_ld
"     1 Ceres",1,Ceres,3.34,952.4,"974.6 x 909.4",9.074170,,,1.59305,619.9672685
"     2 Pallas",2,Pallas,4.13,545,582x556x500,7.8132,,18,1.2302,478.756934
"     3 Juno",3,Juno,5.33,233.92,,7.210,,11.2,1.03909,404.3826553
"     4 Vesta",4,Vesta,3.20,530,,5.342,,,1.13977,443.5642909
"     5 Astraea",5,Astraea,6.85,119.07,,16.800,,6.5,1.0957,426.413569
"     6 Hebe",6,Hebe,5.71,185.18,,7.2745,,2.9,.976749,380.12140833
"     7 Iris",7,Iris,5.51,199.83,,7.139,,10.0,.847689,329.89512813
"     8 Flora",8,Flora,6.49,135.89,,12.865,,2.3,.873999,340.13419083
"     9 Metis",9,Metis,6.28,190,,5.079,,,1.10819,431.2743023
"    10 Hygiea",10,Hygiea,5.43,407.12,,27.623,,6.8,1.76479,686.8033243
"    11 Parthenope",11,Parthenope,6.55,153.33,,13.7204,,3.1,1.19588,465.4006196
"    12 Victoria",12,Victoria,7.24,112.77,,8.6599,,3.1,.821684,319.77476228
"    13 Egeria",13,Egeria,6.74,207.64,,7.045,,8.3,1.43923,560.1051391
"    14 Irene",14,Irene,6.30,152,,15.028,,,1.18218,460.0689906
"    15 Eunomia",15,Eunomia,5.28,255.33,,6.083,,15.0,1.18986,463.0578162
"    16 Psyche",16,Psyche,5.90,253.16,,4.196,,4.0,1.5256,593.717752
"    17 Thetis",17,Thetis,7.76,90.04,,12.27048,,3.7,1.13169,440.4197973
"    18 Melpomene",18,Melpomene,6.51,140.57,,11.570,,2.8,.809612,315.07670204
"    19 Fortuna",19,Fortuna,7.13,200,,7.4432,,,1.06019,412.5941423
"    20 Massalia",20,Massalia,6.50,145.50,,8.098,,9.3,1.08154,420.9029218
"    21 Lutetia",21,Lutetia,7.35,95.76,,8.1655,,4.1,1.02414,398.5645638
"    22 Kalliope",22,Kalliope,6.45,181.00,,4.148,,4.6,1.63217,635.1915989
"    23 Thalia",23,Thalia,6.95,107.53,,12.312,,2.2,1.0442,406.371314
"    24 Themis",24,Themis,7.08,198,,8.374,,,1.75312,682.2617104
"    25 Phocaea",25,Phocaea,7.83,75.13,,9.9341,,3.6,.920405,358.19401385
"    26 Proserpina",26,Proserpina,7.4,94.80,,13.110,,1.7,1.40346,546.1845282
"    27 Euterpe",27,Euterpe,7.0,96,,10.4082,,,.958748,373.11595916
"    28 Bellona",28,Bellona,7.09,120.90,,15.706,,3.4,1.37155,533.7661135
"    29 Amphitrite",29,Amphitrite,5.85,212.22,,5.3921,,6.8,1.38794,540.1446098
"    30 Urania",30,Urania,7.57,100.15,,13.686,,2.4,1.07208,417.2213736
"    31 Euphrosyne",31,Euphrosyne,6.74,255.90,,5.530,,11.5,1.56474,608.9498658
"    32 Pomona",32,Pomona,7.56,80.76,,9.448,,1.6,1.37823,536.3657691
"    33 Polyhymnia",33,Polyhymnia,8.55,,,18.608,,,.894034,347.93121178
"    34 Circe",34,Circe,8.51,113.54,,12.15,,3.3,1.41813,551.8936521
"    35 Leukothea",35,Leukothea,8.50,103.11,,31.900,,2.7,1.31307,511.0074519
"    36 Atalante",36,Atalante,8.46,105.61,,9.93,,4.0,.966348,376.07365116
"    37 Fides",37,Fides,7.29,108.35,,7.3335,,1.9,1.19973,466.8989241
"    38 Leda",38,Leda,8.32,115.93,,12.838,,2.1,1.33071,517.8724107
"    39 Laetitia",39,Laetitia,6.0,149.52,,5.138,,8.6,1.45393,565.8259381
"    40 Harmonia",40,Harmonia,7.00,107.62,,8.910,,6.2,1.16134,451.9586878
"    41 Daphne",41,Daphne,7.12,174.00,,5.988,,11.7,1.02755,399.8916335
"    42 Isis",42,Isis,7.53,100.20,,13.597,,3.4,.901028,350.65306676
"    43 Ariadne",43,Ariadne,7.93,65.88,,5.762,,2.5,.814806,317.09805102
"    44 Nysa",44,Nysa,7.03,70.64,,6.422,,4.0,1.07956,420.1323652
"    45 Eugenia",45,Eugenia,7.46,214.63,,5.699,,4.2,1.49355,581.2448535
"    46 Hestia",46,Hestia,8.36,124.14,,21.040,,3.6,1.08609,422.6736453
"    47 Aglaja",47,Aglaja,7.84,126.96,,13.178,,7.7,1.48545,578.0925765
"    48 Doris",48,Doris,6.90,221.80,,11.89,,7.5,1.9031,740.629427
"    49 Pales",49,Pales,7.7,149.80,,10.42,,3.8,1.39799,544.0557683
"    50 Virginia",50,Virginia,9.24,99.82,,14.315,,5.2,.895498,348.50095666
"    51 Nemausa",51,Nemausa,7.35,147.86,,7.783,,2.4,1.21107,471.3121119
"    52 Europa",52,Europa,6.31,302.50,,5.6304,,5.4,1.77886,692.2789462
"    53 Kalypso",53,Kalypso,8.81,115.38,,9.036,,2.4,1.09748,427.1062916
"    54 Alexandra",54,Alexandra,7.66,165.75,,7.024,,3.4,1.15896,451.0324632
"    55 Pandora",55,Pandora,7.7,66.70,,4.8040,,2.9,1.36633,531.7346461
"    56 Melete",56,Melete,8.31,113.24,,18.147,,1.7,.987578,384.33573026
"    57 Mnemosyne",57,Mnemosyne,7.03,112.59,,12.463,,2.8,1.80826,703.7205442
"    58 Concordia",58,Concordia,8.86,93.43,,9.895,,3.0,1.582,615.66694
"    59 Elpis",59,Elpis,7.93,164.80,,13.69,,6.0,1.39544,543.0633848
"    60 Echo",60,Echo,8.21,60.20,,25.208,,1.8,.973211,378.74452487
"    61 Danae",61,Danae,7.68,82.04,,11.45,,4.3,1.47719,574.8780323
"    62 Erato",62,Erato,8.76,95.39,,9.2213,,2.0,1.60022,622.7576174
"    63 Ausonia",63,Ausonia,7.55,103.14,,9.298,,2.4,1.08044,420.4748348
"    64 Angelina",64,Angelina,7.67,,,8.752,,,1.35695,528.0842315
"    66 Maja",66,Maja,9.36,71.82,,9.73509,,5.3,1.2058,469.261186
"    67 Asia",67,Asia,8.28,58.11,,15.89,,1.4,.972674,378.53554058
"    68 Leto",68,Leto,6.78,122.57,,14.848,,5.3,1.26439,492.0626563
"    69 Hesperia",69,Hesperia,7.05,138.13,,5.655,,4.7,1.50125,584.2414625
"    70 Panopaea",70,Panopaea,8.11,122.17,,15.797,,2.3,1.1579,450.619943
"    71 Niobe",71,Niobe,7.30,83.42,,35.864,,1.7,1.40547,546.9667599
"    72 Feronia",72,Feronia,8.94,85.90,,8.097,,3.6,.986401,383.87767717
