(1) Ceres,,9.075,0.04,3
(10) Hygiea,,27.623,0.11-0.33,4
(100) Hekate,,13.333,0.11,3
(1000) Piazzia,,9.47,0.45,3
(100004) 1983 VA,*,3.1642,0.11,3
(100085) 1992 UY4,*,12.906,0.26,3
(1005) Arago,,8.7819,0.22,2 N
(1006) Lagrangea,,32.8,0.18,1
(100756) 1998 FM5,*,6.35,1,3
(1008) La Paz,*,8.998,0.19,3
(101) Helena,,23.08,0.13,3
(1010) Marlene,*,31.06,0.32,2
(1011) Laodamia,,5.172,0.44,3
(10115) 1992 SK,,7.319,0.72-1.03,3 N
(1012) Sarema,,10.32,0.81,3
(1013) Tombecka,,6,0.44,3
(1014) Semphyra,,5.636,0.12,3
(10142) Sakka,,3.35,0.4,3
(1016) Anitra,*,5.93,0.30-0.50,2
(101610) 1999 CW7,*,3.845,0.38,3 N
(1017) Jacqueline,,7.87,0.6,3
(1018) Arnolda,,11.97,0.42,1
(1019) Strackea,,3.832,0.31,3
(101955) 1999 RQ36,*,2.146,0.1 -0.3,2
(10199) Chariklo,,,<0.1,
(102) Miriam,,15.789,0.08-0.16,2
(1021) Flammario,*,12.146,0.14-0.36,2
(1022) Olympiada,,3.833,0.27,2
(1025) Riema,,3.58,0.10-0.25,2
(102528) 1999 US3,*,4.682,0.45,3
(1026) Ingrid,,5,0.5,2
(10261) Nikdollezhal,'       *,16.69,0.08,2
(1027) Aesculapia,,6.83,0.15,1
(1028) Lydina,,15.69,0.7,2
(1029) La Plata,,15.37,0.44-0.53,2
(103) Hera,,23.74,0.42,2
(10302) 1989 ML,,19,0.6 -1.0,3
(103067) 1999 XA143,*,9.849,0.49,3 N
(1031) Arctica,,51,>0.22,2
(1035) Amata,,9.081,0.44,3
(1036) Ganymed,,10.31,0.10-0.45,3
(10370) Hylonome,,,,
(1038) Tuckia,,23.2,0.1,2
(104) Klymene,,8.984,0.3,3
(1040) Klumpkea,,59.2,0.77,2
(1042) Amazone,*,16.26,0.1,2
(1046) Edwin,,5.292,0.16,2
(10475) 1981 EX28,,3.1,0.2,1
(1048) Feodosia,,10.46,0.14,2
(105) Artemis,,16.84,0.15,2
(1051) Merope,,>20.,>0.09,2
(105140) 2000 NL10,*,6.927,0.47,3 N
(105158) 2000 OL,*,3.136,0.2,3
(10518) 1990 MC,*,6.613,0.08,2
(1054) Forsytia,,7.65,0.23,3
(1057) Wanda,,28.8,0.41,2
(10578) 1995 LH,,8.861,0.18,3
(1058) Grubba,*,>18.,>0.10,2
(1059) Mussorgskia,,5.636,0.21,3
(106) Dione,*,16.26,0.08,3
(1060) Magnolia,,2.78,0.09,2
(1062) Ljuba,,33.8,0.17,3
(1063) Aquilegia,,5.791,0.73-0.93,3
(1067) Lunaria,,6.057,0.13-0.27,3
(1068) Nofretete,,6.15,0.04,2
(1069) Planckia,,8.643,0.17,2
(107) Camilla,,4.8439,0.32-0.52,4 B
(1071) Brita,,5.8,0.38,1
(1076) Viola,,7.336,0.12,3
(1078) Mentha,,85,>0.87,3
(10783) 1991 RB9,*,7.33,0.26,3
(1079) Mimosa,,7.3,0.1,1
(108) Hecuba,,28.9,0.05-0.2,1:00 AM
(1083) Salvia,,4.23,0.61,3
(1084) Tamariwa,,6.153,0.27,2
(1085) Amaryllis,,18.168,0.2,2
(108519) 2001 LF,*,4.495,0.1,3 N
(1086) Nata,,18.074,0.17,2
(1087) Arabis,,5.794,0.14,3
(1088) Mitaka,,3.049,0.4,3
(1089) Tama,,16.44,0.38,3 B
(109) Felicitas,,13.191,0.06,3
(1090) Sumida,,2.719,0.22-0.28,3
(1092) Lilium,,17.63,0.16,1
(10936) 1998 FN11,,17.3,0.4,2 D
(1095) Tulipa,,2.787,0.21,3
(1096) Reunerta,*,13.031,0.26-0.39,2
(1098) Hakone,,7.142,0.39,3
(11) Parthenope,,9.43,0.05-0.12,2
(110) Lydia,,10.927,0.10-0.20,3
(1101) Clematis,,12.68,0.05-0.23,2
(1103) Sequoia,,3.049,0.51,3
(1105) Fragaria,,10.88,0.12,1
(11054) 1991 FA,,2.5726,0.08,2 N
(11066) Sigurd,,8.4958,1.02,3
(1107) Lictoria,*,8.561,0.16-0.30,2
(1108) Demeter,,9.7,0.12-0.15,2
(111) Ate,,22.2,0.1,2
(1111) Reinmuthia,,4.02,0.61,3
(1113) Katja,,18.465,0.15,3
(1114) Lorraine,*,,,N
(1116) Catriona,,8.832,0.10-0.20,2
(1117) Reginita,,2.946,0.13,3
(1118) Hanskya,,15.61,0.18,2
(112) Iphigenia,,15.783,0.5,1 N
(1120) Cannonia,*,3.816,0.16,3
(1123) Shapleya,,>20.,>0.28,2
(1124) Stroobantia,,16.39,0.15,1
(11264) Claudiomacco,ne      *,3.1872,0.12,2 NB
(1127) Mimi,*,12.749,0.72-0.95,3
(1129) Neujmina,,7.61,0.06,2
(113) Amalthea,,9.935,0.19-0.26,3
(1130) Skuld,,4.81,0.5,3
(1131) Porzia,,4,0.23,2
(1132) Hollandia,,5.568,0.35,2
(1135) Colchis,,23.47,0.45,2
(1137) Raissa,,37,0.34,1
(1139) Atami,*,27.44,0.43,3 B
(11398) 1998 YP11,,38.6,0.25,3
(114) Kassandra,,10.758,0.25,3
(1140) Crimea,*,9.77,0.3,3
(11405) 1999 CV3,,6.511,0.5 -0.79,3
(11424) 1999 LZ24,,2.928,0.11,2
(1143) Odysseus,,>12.,0.11,1
(114319) 2002 XD58,*,2.9649,0.14,2 BN
(11436) 1969 QR,,2.65,0.27,2
(11457) 1981 EF12,,9.18,0.26,1
(1146) Biarmia,,11.514,0.32,2
(1147) Stavropolis,,5.66,0.42,3
(1148) Rarahu,,6,0.55,2
(1149) Volga,,27.5,0.26,2
(115) Thyra,,7.241,0.14-0.20,4
(11500) 1989 UR,,73,0.5,3 N
(1152) Pawona,,3.418,0.16,3
(1153) Wallenbergia,,4.096,0.33,3
(1158) Luda,,6.863,0.15-0.22,2
(1159) Granada,,31,0.28,2
(116) Sirona,,12.028,0.42,3
(1162) Larissa,,13,0.1,1
(1165) Imprinetta,,7.9374,0.2,2
(1166) Sakuntala,,6.3,0.4,2
(1167) Dubiago,,14.3,0.23,2
(1168) Brandia,,11.444,0.62,3
(117) Lomia,,9.127,0.29,3
(1170) Siva,,5.215,0.04,1
(1171) Rusthawelia,,10.98,0.26,3
(1172) Aneas,,,0.6,N
(11728) Einer,*,13.62,0.14,2
(1173) Anchises,,11.6,0.57,3
(1174) Marmara,,12,0.2,2
(1175) Margo,*,6.0138,0.31,2:00 AM
(1176) Lucidor,*,4.0791,0.06,3
(1177) Gonnessia,,6.81,0.11,2
(1178) Irmela,,19.17,0.34,2
(118) Peitho,*,7.78,0.08-0.33,3
(1180) Rita,,14.902,0.29,3
(1182) Ilona,*,29.8,1.2,2
(118228) 1996 TQ66,*,,<0.22,
(1185) Nikko,*,3.79,0.25-0.50,3
(1186) Turnera,,12.01,>0.20,2
(11868) Kleinrichert,,24,0.29,1
(1188) Gothlandia,,3.493,0.68,3
(1189) Terentia,,19.303,0.38,3
(119) Althaea,,11.484,0.36,3
(1191) Alfaterna,*,long?,>0.05,1
(1192) Prisma,,6.558,0.85,3
(1196) Sheba,,6.32,0.21-0.28,3
(1197) Rhodesia,*,16.062,0.22-0.32,2
(12) Victoria,,8.6599,0.08-0.33,4
(120) Lachesis,*,45.84,0.22,2
(1200) Imperatrix,,13.34,0.23,2
(120061) 2003 CO1,*,,,
(12008) Kandrup,*,32,0.4,1 N
(1202) Marina,,9.45,0.22,3
(1204) Renzia,,7.885,0.42,3
(1207) Ostenia,*,9.073,0.5 -0.7,3
(1208) Troilus,*,>24.,0.36,2 N
(121) Hermione,*,5.551,0.07-0.45,4 B
(1210) Morosovia,,15.3,0.53,3
(1212) Francette,,>16.,>0.03,1
(1213) Algeria,,>16.,>0.19,2
(1214) Richilde,,9.86,0.32,3
(1219) Britta,,5.575,0.56-0.70,3
(122) Gerda,,10.685,0.26,3
(1220) Crocus,,737,0.87,2
(1221) Amor,,,,N
(1222) Tina,,long,1,1
(1223) Neckar,,7.821,0.16-0.45,4
(1224) Fantasia,,4.995,0.06-0.48,3
(1225) Ariane,*,5.5068,0.30-0.36,3
(1226) Golia,,4.097,0.35,3
(123) Brunhild,,10.04,0.16,3
(12331) 1992 UH6,*,2.727,0.02,1
(1234) Elyna,,17.6,0.16,1
(1235) Schorria,,,,N
(1236) Thais,,>72.,>0.08,1
(1237) Genevieve,,16.37,0.23,3
(1238) Predappia,*,8.94,0.03,2-1A
(124) Alkeste,,9.921,0.15,3
(1240) Centenaria,,14,0.08,1
(1241) Dysona,,8.856,0.25,2
(1242) Zambesia,,17.305,0.24,2 N
(1243) Pamela,,26.017,0.49,2
(1245) Calvinia,,4.84,0.63,3
