Designation (and name)	Prov. Des.	q	Q	EMoid	H	Epoch	M	Peri.	Node	Incl.	e	a	Opps.	Ref.	Designation (and name)	"Discovery date, site and discoverer(s)"
																
	2014 DK10	0.892	2.689	0.00073	27.8	20131104	328.9	314.3	152.8	11.3	0.502	1.79	(  2d)	E2014-D39	2014 DK10	2014 02 22  703  Catalina Sky Survey
	2014 DJ10	0.951	1.229	0.00595	23.1	20131104	6.4	244.8	154.3	21.3	0.127	1.09	(  2d)	E2014-D39	2014 DJ10	2014 02 22  G96  Mt. Lemmon Survey
	2014 DG10	0.838	3.029	0.0561	23.3	20131104	341.2	285.9	149.7	10.6	0.567	1.933	(  2d)	E2014-D39	2014 DG10	2014 02 22  G96  Mt. Lemmon Survey
	2014 DD10	0.45	7.417	0.20207	18.9	20131104	0	15.5	17.8	12.9	0.886	3.933	(  4d)	E2014-D39	2014 DD10	2014 02 20  G96  Mt. Lemmon Survey
	2014 DC10	0.972	4.768	0.05892	20.1	20131104	327	42.1	153.1	13.5	0.661	2.87	(  4d)	E2014-D39	2014 DC10	2014 02 20  F51  Pan-STARRS 1
	2014 DN7	0.592	2.816	0.12039	20.7	20131104	279.1	110.7	145.1	23.9	0.652	1.704	(  4d)	E2014-D39	2014 DN7	2014 02 20  G96  Mt. Lemmon Survey
	2014 DH6	0.878	1.689	0.00181	25.8	20131104	253.1	238.8	334.4	27.8	0.316	1.283	(  1d)	E2014-D27	2014 DH6	2014 02 21  703  Catalina Sky Survey
	2014 DR	0.649	2.021	0.10962	21.1	20131104	3.7	237.5	141.8	12.5	0.514	1.335	(  1d)	E2014-D22	2014 DR	2014 02 20  G96  Mt. Lemmon Survey
	2014 DQ	0.914	1.48	0.0127	24.7	20131104	323.1	296.2	145.3	3.9	0.236	1.197	(  4d)	E2014-D39	2014 DQ	2014 02 20  F51  Pan-STARRS 1
	2014 DC	0.991	3.991	0.00777	26.7	20131104	336.5	341.1	152.5	1.5	0.602	2.491	(  4d)	E2014-D39	2014 DC	2014 02 18  703  Catalina Sky Survey
	2014 DB	0.692	2.009	0.01467	23.5	20131104	329.8	270	149.2	43.2	0.487	1.351	(  2d)	E2014-D19	2014 DB	2014 02 18  703  Catalina Sky Survey
	2014 DA	0.775	2.235	0.00015	22.7	20131104	336	110	313.7	2.5	0.485	1.505	(  5d)	E2014-D39	2014 DA	2014 02 18  703  Catalina Sky Survey
	2014 CF14	0.824	3.183	0.15218	17.9	20131104	307.1	334.8	242	29.4	0.589	2.004	( 11d)	E2014-D19	2014 CF14	2014 02 07  C51  WISE
	2014 CU13	0.702	3.631	0.0085	21.7	20131104	307	249.6	356.3	5.9	0.676	2.166	( 13d)	E2014-D39	2014 CU13	2014 02 11  G96  Mt. Lemmon Survey
	2014 CS13	0.845	1.669	0.00886	24.1	20131104	329.4	13.5	59.6	0.6	0.328	1.257	( 11d)	E2014-D39	2014 CS13	2014 02 11  703  Catalina Sky Survey
	2014 CR13	0.802	2.188	0.00223	25.8	20131104	332.3	292.8	141.8	7.4	0.464	1.495	( 11d)	E2014-D22	2014 CR13	2014 02 11  G96  Mt. Lemmon Survey
	2014 CM13	0.643	3.089	0.02189	21.9	20131104	344.5	77.8	335.9	9.6	0.656	1.866	( 12d)	E2014-D39	2014 CM13	2014 02 10  F51  Pan-STARRS 1
	2014 CH13	0.966	1.318	0.01228	24.4	20131104	212.8	115.7	110.7	3.6	0.154	1.142	(  1d)	E2014-D09	2014 CH13	2014 02 10  G96  Mt. Lemmon Survey
	2014 CF13	0.721	1.322	0.02376	25	20131104	336.4	73.6	323.1	24.7	0.294	1.021	( 10d)	E2014-D22	2014 CF13	2014 02 10  703  Catalina Sky Survey
	2014 CD13	0.538	3.88	0.02187	21	20131104	311.6	284.3	332.5	6.9	0.756	2.209	( 13d)	E2014-D22	2014 CD13	2014 02 09  F51  Pan-STARRS 1
	2014 CY4	0.481	4.773	0.04224	21.3	20131104	351.1	289.4	126.7	15	0.817	2.627	( 18d)	E2014-D22	2014 CY4	2014 02 04  C51  WISE
	2014 CB3	0.957	1.642	0.02059	26.1	20131104	270.8	223.3	318.3	10.1	0.263	1.3	(  4d)	MPO284143	2014 CB3	2014 02 06  G96  Mt. Lemmon Survey
	2014 CZ2	0.855	3.816	0.05256	20.8	20131104	305	111.5	123.9	13.7	0.634	2.335	( 18d)	E2014-D27	2014 CZ2	2014 02 05  G96  Mt. Lemmon Survey
	2014 CR	0.894	3.397	0.02106	22.7	20131104	314.9	60.5	138	4.1	0.583	2.146	( 19d)	E2014-D39	2014 CR	2014 02 05  703  Catalina Sky Survey
	2014 CE	0.739	1.977	0.00219	27.1	20131104	336.7	280.3	133.2	5.9	0.456	1.358	( 10d)	E2014-D19	2014 CE	2014 02 02  703  Catalina Sky Survey
	2014 BE63	0.749	3.553	0.13405	23.2	20131104	319.3	359.4	181.9	8.6	0.652	2.151	( 14d)	MPO284140	2014 BE63	2014 01 23  C51  WISE
	2014 BM62	0.914	2.316	0.00271	25.3	20131104	301.8	225.9	306.6	1.8	0.434	1.615	(  2d)	MPO284140	2014 BM62	2014 01 31  703  Catalina Sky Survey
	2014 BX57	0.975	1.944	0.01265	26.5	20131104	322.5	150.2	317.3	4.6	0.332	1.459	(  6d)	MPO284139	2014 BX57	2014 01 29  G96  Mt. Lemmon Survey
	2014 BW57	0.997	3.168	0.08799	22.1	20131104	313.1	86	108	5.3	0.521	2.083	( 24d)	E2014-D27	2014 BW57	2014 01 29  703  Catalina Sky Survey
	2014 BS57	0.54	2.017	0.03488	25.4	20131104	259.5	113.3	125.2	12.7	0.577	1.279	(  4d)	MPO284138	2014 BS57	2014 01 29  G96  Mt. Lemmon Survey
	2014 BR57	0.816	1.9	0.01153	23.9	20131104	262.3	237	341.5	3.8	0.399	1.358	( 23d)	E2014-D13	2014 BR57	2014 01 28  G96  Mt. Lemmon Survey
	2014 BY43	0.939	1.182	0.03818	25.2	20131104	208.3	266.1	309.7	37.4	0.114	1.06	(  6d)	MPO284133	2014 BY43	2014 01 28  G96  Mt. Lemmon Survey
	2014 BX43	0.784	3.968	0.01705	25.9	20131104	325.2	81.5	113.7	2.8	0.67	2.376	(  6d)	MPO284133	2014 BX43	2014 01 28  G96  Mt. Lemmon Survey
	2014 BT43	0.876	2.746	0.02508	25.7	20131104	305.3	267.1	283.9	2.3	0.517	1.811	(  9d)	MPO284133	2014 BT43	2014 01 28  G96  Mt. Lemmon Survey
	2014 BS43	0.616	2.115	0.17641	21.3	20131104	260.5	115.4	127.9	41.1	0.549	1.365	( 17d)	E2014-D09	2014 BS43	2014 01 28  703  Catalina Sky Survey
	2014 BQ43	0.789	2.889	0.01791	23.1	20131104	302.1	280.1	292.4	4.8	0.571	1.839	( 12d)	E2014-D09	2014 BQ43	2014 01 26  F51  Pan-STARRS 1
	2014 BP43	0.852	1.39	0.0127	26.5	20131104	231	86.3	127.4	3.3	0.24	1.121	( 12d)	MPO284132	2014 BP43	2014 01 25  F51  Pan-STARRS 1
	2014 BD33	0.751	4.745	0.07366	17.2	20131104	9.5	237.5	141.5	66	0.727	2.748	2	E2014-D39	2014 BD33	2014 01 25  F51  Pan-STARRS 1
	2014 BX32	0.829	1.721	0.07085	21.5	20131104	207.2	311.1	309.9	12.6	0.35	1.275	( 27d)	E2014-D13	2014 BX32	2014 01 24  F51  Pan-STARRS 1
	2014 BT32	0.959	1.279	0.05227	25	20131104	13.8	267.2	117.8	8.4	0.143	1.119	(  4d)	MPO284129	2014 BT32	2014 01 23  G96  Mt. Lemmon Survey
	2014 BM25	0.956	2.06	0.00289	28.1	20131104	301.5	210.7	307.2	3.6	0.366	1.508	(  4d)	MPO284127	2014 BM25	2014 01 26  703  Catalina Sky Survey
	2014 BK25	0.84	2.188	0.00691	27.5	20131104	291.8	61.9	126.1	7.9	0.445	1.514	(  2d)	MPO284127	2014 BK25	2014 01 26  703  Catalina Sky Survey
