Designation (and name)	Prov	. Des.	q	Q	EMoid	H	Epoch	M	Peri.	Node	Incl.	e	a	Opps.	Ref.	Designation (and name)	"Discovery date, site and discoverer(s)"
																	
	2014	DH	0.63	1.345	0.00464	26.6	20131104	328.1	283.6	110	1.3	0.362	0.988	(  1d)	E2014-D19	2014 DH	2014 02 19  G96  Mt. Lemmon Survey
	2014	DE	0.612	1.228	0.16917	23.5	20131104	31.5	198.2	146.5	19	0.335	0.92	(  1d)	E2014-D13	2014 DE	2014 02 18  G96  Mt. Lemmon Survey
	2014	CE13	0.369	1.331	0.00784	24	20131104	142.3	312.5	335	5.4	0.566	0.85	(  8d)	E2014-D13	2014 CE13	2014 02 10  G96  Mt. Lemmon Survey
	2014	CA13	0.688	1.149	0.03212	25.5	20131104	147.5	129.9	138.3	21.9	0.251	0.919	(  2d)	MPO284143	2014 CA13	2014 02 08  G96  Mt. Lemmon Survey
	2014	BU43	0.44	1.043	0.00837	26.6	20131104	78.5	341.1	312.9	6.8	0.407	0.741	(  5d)	MPO284133	2014 BU43	2014 01 28  G96  Mt. Lemmon Survey
	2014	BA33	0.62	1.269	0.20288	21.9	20131104	139.6	154.1	122.5	39.4	0.344	0.944	( 15d)	E2014-D09	2014 BA33	2014 01 26  F51  Pan-STARRS 1
	2014	BW32	0.579	1.055	0.00325	26.6	20131104	113	155.7	125.5	1.2	0.292	0.817	( 12d)	MPO284129	2014 BW32	2014 01 23  G96  Mt. Lemmon Survey
	2014	BG25	0.678	1.118	0.03723	25.3	20131104	27.3	218.7	124.7	9.9	0.245	0.898	( 11d)	MPO284126	2014 BG25	2014 01 24  F51  Pan-STARRS 1
	2014	BT8	0.889	1.073	0.00059	25	20131104	6.5	261.8	121.9	12.5	0.094	0.981	(  6d)	E2014-D09	2014 BT8	2014 01 23  703  Catalina Sky Survey
	2014	BA3	0.865	1.007	0.01021	28.2	20131104	121.3	336.5	301.4	2.3	0.076	0.936	(  8d)	MPO284115	2014 BA3	2014 01 21  G96  Mt. Lemmon Survey
	2014	AE29	0.765	1.049	0.01016	27.4	20131104	165.7	138.1	103.5	5	0.157	0.907	(  4d)	MPO279509	2014 AE29	2014 01 06  G96  Mt. Lemmon Survey
	2013	YW102	0.525	1.239	0.04787	23.6	20131104	51.4	217.1	93.9	12.3	0.405	0.882	(  4d)	MPO279501	2013 YW102	2013 12 31  G96  Mt. Lemmon Survey
	2013	YK70	0.301	1.595	0.11159	20.9	20131104	24	26.9	269.7	23.1	0.682	0.948	(  8d)	E2014-D19	2013 YK70	2013 12 30  G96  Mt. Lemmon Survey
	2013	YM2	0.747	1.02	0.01585	26.2	20131104	144.7	161.2	92.4	3.3	0.155	0.884	( 11d)	MPO279479	2013 YM2	2013 12 24  G96  Mt. Lemmon Survey
	2013	YG	0.901	1.055	0.03302	25.4	20131104	70.6	51.2	272.9	7.1	0.079	0.978	( 12d)	MPO279478	2013 YG	2013 12 23  G96  Mt. Lemmon Survey
	2013	XF4	0.52	1.306	0.005	26	20131104	53.6	232.1	65.8	5.8	0.431	0.913	(  7d)	MPO278174	2013 XF4	2013 12 03  F51  Pan-STARRS 1
	2013	VV13	0.422	1.04	0.02304	24.1	20131104	168.2	299.9	287	2.2	0.423	0.731	(  1d)	MPO275436	2013 VV13	2013 11 12  G96  Mt. Lemmon Survey
	2013	UR5	0.64	1.078	0.03617	23	20131104	149.7	207.3	30	15.3	0.255	0.859	( 40d)	MPO278287	2013 UR5	2013 10 27  J75
	2013	UB3	0.709	1.058	0.04528	25.7	20131104	200.6	351.4	213.9	4.9	0.198	0.883	(  9d)	MPO275415	2013 UB3	2013 10 24  G96  Mt. Lemmon Survey
	2013	US1	0.678	1.102	0.01812	25.6	20131104	170.7	16.9	207.7	2.1	0.238	0.89	( 10d)	MPO275414	2013 US1	2013 10 23  G96
	2013	UG1	0.413	1.184	0.00132	22.3	20131104	120.3	216.6	24.5	10.7	0.483	0.798	( 34d)	MPO278287	2013 UG1	2013 10 22  C94  V. Lipunov
	2013	UB	0.58	1.114	0.00361	26.6	20131104	270.7	314.2	209.7	3.2	0.315	0.847	(  4d)	MPO275411	2013 UB	2013 10 16  G96  Mt. Lemmon Survey
	2013	TG135	0.355	1.057	0.03042	25.2	20131104	253	351.9	193.1	9.5	0.497	0.706	(  2d)	MPO272632	2013 TG135	2013 10 12  703  Catalina Sky Survey
	2013	TN127	0.844	1.026	0.02724	26.2	20131104	201.4	2.3	198.8	13.5	0.097	0.935	(  3d)	MPO277280	2013 TN127	2013 10 11  703  Catalina Sky Survey
	2013	TG6	0.82	1.057	0.00898	26.6	20131104	158	221.1	14	3.2	0.126	0.938	(  7d)	MPO277266	2013 TG6	2013 10 05  703  Catalina Sky Survey
	2013	TB6	0.406	1.165	0.04849	22.6	20131104	155.4	201.8	22.6	14.4	0.483	0.785	( 46d)	MPO278282	2013 TB6	2013 10 04  703  Catalina Sky Survey
	2013	TR5	0.813	1.05	0.05989	19.1	20131104	122.6	277.8	344.9	46.7	0.127	0.931	(129d)	MPO285779	2013 TR5	2013 10 02  703  Catalina Sky Survey
	2013	TQ5	0.654	0.894	0.19372	19.8	20131104	224.1	247.3	286.8	16.4	0.155	0.774	( 23d)	MPO277266	2013 TQ5	2013 10 02  G96  Mt. Lemmon Survey
	2013	TK4	0.704	1.167	0.06667	23.8	20131104	161.9	23.6	204.3	7	0.248	0.935	( 29d)	MPO277266	2013 TK4	2013 10 02  G96  Mt. Lemmon Survey
	2013	TH4	0.514	1.263	0.25404	23.2	20131104	213.4	2.4	188.5	27.7	0.421	0.888	(  8d)	MPO272609	2013 TH4	2013 10 02  G96  Mt. Lemmon Survey
	2013	SN24	0.618	1.049	0.04475	25	20131104	229.9	353.6	189.5	10.1	0.259	0.833	(  7d)	MPO272579	2013 SN24	2013 09 28  G96  Mt. Lemmon Survey
	2013	SM20	0.617	1.077	0.03425	24.8	20131104	262.8	182.6	341.8	4	0.271	0.847	( 13d)	MPO277257	2013 SM20	2013 09 26  G96  Mt. Lemmon Survey
	2013	ST	0.678	1.068	0.02954	24.7	20131104	190.2	24.6	182.7	10.8	0.223	0.873	( 18d)	MPO272567	2013 ST	2013 09 23  J75
	2013	RG74	0.207	1.18	0.00041	23.3	20131104	327.8	157.6	359.4	6.5	0.702	0.693	(  8d)	MPO272555	2013 RG74	2013 09 15  703  Catalina Sky Survey
	2013	RD6	0.727	1.1	0.08988	24.8	20131104	257.6	176.7	338.7	17.2	0.204	0.914	( 25d)	MPO277246	2013 RD6	2013 09 02  G96  Mt. Lemmon Survey
	2013	RO5	0.485	1.031	0.01962	24.8	20131104	281.2	175.9	339.7	10.1	0.36	0.758	(  6d)	MPO270179	2013 RO5	2013 09 01  703  Catalina Sky Survey
